Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
39,Raheem Mostert,MIA,30,RB,16,14,42,31,202,6.5,2,11,47.6,25,1.9,12.6,73.8%,4.8,181,891,3,44,55.2,67,4.9,55.7,11.3,212,5.2,1093,5,1
40,James Conner,ARI,27,RB,13,13,58,46,300,6.5,1,13,44.8,22,3.5,23.1,79.3%,5.2,183,782,7,48,55.2,23,4.3,60.2,14.1,229,4.7,1082,8,3
41,Ja'Marr Chase*,CIN,22,WR,12,12,134,87,1046,12.0,9,58,55.2,60,7.3,87.2,64.9%,7.8,5,8,0,0,20.0,6,1.6,0.7,0.4,92,11.5,1054,9,2
42,D.K. Metcalf,SEA,25,WR,17,17,141,90,1048,11.6,6,47,49.6,54,5.3,61.6,63.8%,7.4,,,0,0,,,,,,90,11.6,1048,6,2
43,Jeff Wilson,2TM,27,RB,16,7,37,22,185,8.4,1,7,35.1,16,1.4,11.6,59.5%,5.0,176,860,5,43,50.0,41,4.9,53.8,11.0,198,5.3,1045,6,3
44,Chris Olave,NOR,22,WR,15,9,119,72,1042,14.5,4,48,53.8,53,4.8,69.5,60.5%,8.8,,,0,0,,,,,,72,14.5,1042,4,2
45,Brandon Aiyuk,SFO,24,WR,17,17,114,78,1015,13.0,8,47,59.6,54,4.6,59.7,68.4%,8.9,2,23,0,1,100.0,16,11.5,1.4,0.1,80,13.0,1038,8,1
46,Tyler Lockett,SEA,30,WR,16,16,117,84,1033,12.3,9,50,60.7,40,5.3,64.6,71.8%,8.8,,,0,0,,,,,,84,12.3,1033,9,2
47,Tee Higgins,CIN,23,WR,16,14,109,74,1029,13.9,7,47,59.6,59,4.6,64.3,67.9%,9.4,,,0,0,,,,,,74,13.9,1029,7,
48,Chris Godwin,TAM,26,WR,15,13,142,104,1023,9.8,3,53,60.6,44,6.9,68.2,73.2%,7.2,3,5,0,0,0.0,2,1.7,0.3,0.2,107,9.6,1028,3,2
49,Jerry Jeudy,DEN,23,WR,15,14,100,67,972,14.5,6,41,52.0,67,4.5,64.8,67.0%,9.7,4,40,0,4,100.0,14,10.0,2.7,0.3,71,14.3,1012,6,
50,Jonathan Taylor,IND,23,RB,11,11,40,28,143,5.1,0,4,32.5,19,2.5,13.0,70.0%,3.6,192,861,4,39,48.4,66,4.5,78.3,17.5,220,4.6,1004,4,3
51,AJ Dillon,GNB,24,RB,17,3,43,28,206,7.4,0,9,39.5,17,1.6,12.1,65.1%,4.8,186,770,7,47,56.5,27,4.1,45.3,10.9,214,4.6,976,7,1
52,Ezekiel Elliott,DAL,27,RB,15,14,23,17,92,5.4,0,4,39.1,31,1.1,6.1,73.9%,4.0,231,876,12,52,47.6,27,3.8,58.4,15.4,248,3.9,968,12,
53,Isiah Pacheco,KAN,23,RB,17,11,14,13,130,10.0,0,7,64.3,32,0.8,7.6,92.9%,9.3,170,830,5,37,57.1,31,4.9,48.8,10.0,183,5.2,960,5,4
54,Michael Pittman Jr.,IND,25,WR,16,16,141,99,925,9.3,4,51,53.9,28,6.2,57.8,70.2%,6.6,3,30,0,2,66.7,19,10.0,1.9,0.2,102,9.4,955,4,2
55,D.J. Moore,CAR,25,WR,17,17,118,63,888,14.1,7,44,43.2,62,3.7,52.2,53.4%,7.5,10,53,0,3,80.0,11,5.3,3.1,0.6,73,12.9,941,7,
56,D'Onta Foreman,CAR,26,RB,17,9,9,5,26,5.2,0,1,22.2,23,0.3,1.5,55.6%,2.9,203,914,5,45,48.8,60,4.5,53.8,11.9,208,4.5,940,5,1
57,JuJu Smith-Schuster,KAN,26,WR,16,14,101,78,933,12.0,3,47,67.3,53,4.9,58.3,77.2%,9.2,,,0,0,,,,,,78,12.0,933,3,3
58,D'Andre Swift,DET,23,RB,14,8,70,48,389,8.1,3,17,38.6,25,3.4,27.8,68.6%,5.6,99,542,5,21,47.5,50,5.5,38.7,7.1,147,6.3,931,8,1
59,T.J. Hockenson*,2TM,25,TE,17,14,129,86,914,10.6,6,44,47.3,81,5.1,53.8,66.7%,7.1,,,0,0,,,,,,86,10.6,914,6,1
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
60,Diontae Johnson,PIT,26,WR,17,17,147,86,882,10.3,0,45,49.0,37,5.1,51.9,58.5%,6.0,7,25,0,1,28.6,8,3.6,1.5,0.4,93,9.8,907,0,1
61,Cam Akers,LAR,23,RB,15,9,18,13,117,9.0,0,8,50.0,18,0.9,7.8,72.2%,6.5,188,786,7,39,52.7,42,4.2,52.4,12.5,201,4.5,903,7,2
62,Antonio Gibson,WAS,24,RB,15,6,58,46,353,7.7,2,18,46.6,26,3.1,23.5,79.3%,6.1,149,546,3,32,49.7,20,3.7,36.4,9.9,195,4.6,899,5,1
63,Mike Williams,LAC,28,WR,13,13,93,63,895,14.2,4,39,59.1,55,4.8,68.8,67.7%,9.6,,,0,0,,,,,,63,14.2,895,4,
64,Latavius Murray,2TM,32,RB,13,7,35,27,132,4.9,0,4,25.7,15,2.1,10.2,77.1%,3.8,171,760,6,44,53.8,52,4.4,58.5,13.2,198,4.5,892,6,1
65,Drake London,ATL,21,WR,17,15,117,72,866,12.0,4,48,56.4,40,4.2,50.9,61.5%,7.4,,,0,0,,,,,,72,12.0,866,4,3
66,Cooper Kupp,LAR,29,WR,9,9,98,75,812,10.8,6,42,62.2,75,8.3,90.2,76.5%,8.3,9,52,1,4,66.7,20,5.8,5.8,1.0,84,10.3,864,7,2
67,Deebo Samuel,SFO,26,WR,13,12,94,56,632,11.3,2,25,47.9,57,4.3,48.6,59.6%,6.7,42,232,3,8,40.5,51,5.5,17.8,3.2,98,8.8,864,5,3
68,Brian Robinson Jr.,WAS,23,RB,12,9,12,9,60,6.7,1,3,50.0,18,0.8,5.0,75.0%,5.0,205,797,2,49,52.7,24,3.9,66.4,17.1,214,4.0,857,3,2
69,Mark Andrews*,BAL,27,TE,15,15,113,73,847,11.6,5,48,56.6,36,4.9,56.5,64.6%,7.5,3,8,0,3,100.0,4,2.7,0.5,0.2,76,11.3,855,5,1
70,Curtis Samuel,WAS,26,WR,17,12,92,64,656,10.3,4,36,46.7,49,3.8,38.6,69.6%,7.1,38,187,1,11,44.7,21,4.9,11.0,2.2,102,8.3,843,5,1
71,Zay Jones,JAX,27,WR,16,15,121,82,823,10.0,5,44,54.5,59,5.1,51.4,67.8%,6.8,4,18,0,1,50.0,14,4.5,1.1,0.3,86,9.8,841,5,
72,Donovan Peoples-Jones,CLE,23,WR,17,14,96,61,839,13.8,3,33,50.0,42,3.6,49.4,63.5%,8.7,1,2,0,0,0.0,2,2.0,0.1,0.1,62,13.6,841,3,1
73,Gabriel Davis,BUF,23,WR,15,15,93,48,836,17.4,7,35,51.6,98,3.2,55.7,51.6%,9.0,,,0,0,,,,,,48,17.4,836,7,1
74,Courtland Sutton,DEN,27,WR,15,15,109,64,829,13.0,2,38,46.8,51,4.3,55.3,58.7%,7.6,1,5,0,0,100.0,5,5.0,0.3,0.1,65,12.8,834,2,
75,George Pickens,PIT,21,WR,17,12,84,52,801,15.4,4,38,48.8,42,3.1,47.1,61.9%,9.5,3,24,1,2,66.7,22,8.0,1.4,0.2,55,15.0,825,5,
76,Cordarrelle Patterson,ATL,31,RB,13,11,31,21,122,5.8,0,6,38.7,16,1.6,9.4,67.7%,3.9,144,695,8,39,60.4,40,4.8,53.5,11.1,165,5.0,817,8,1
77,Jerick McKinnon,KAN,30,RB,17,0,71,56,512,9.1,9,28,54.9,56,3.3,30.1,78.9%,7.2,72,291,1,12,45.8,30,4.0,17.1,4.2,128,6.3,803,10,1
78,Jakobi Meyers,NWE,26,WR,14,13,96,67,804,12.0,6,38,56.3,48,4.8,57.4,69.8%,8.4,2,-11,0,2,100.0,7,-5.5,-0.8,0.1,69,11.5,793,6,2
79,Khalil Herbert,CHI,24,RB,13,1,12,9,57,6.3,1,2,16.7,25,0.7,4.4,75.0%,4.8,129,731,4,26,47.3,63,5.7,56.2,9.9,138,5.7,788,5,
80,Allen Lazard,GNB,27,WR,15,15,100,60,788,13.1,6,45,55.0,47,4.0,52.5,60.0%,7.9,2,0,0,0,0.0,1,0.0,0.0,0.1,62,12.7,788,6,
81,Evan Engram,JAX,28,TE,17,14,98,73,766,10.5,4,33,55.1,36,4.3,45.1,74.5%,7.8,2,13,0,1,50.0,13,6.5,0.8,0.1,75,10.4,779,4,
82,Josh Palmer,LAC,23,WR,16,11,107,72,769,10.7,3,39,55.1,50,4.5,48.1,67.3%,7.2,1,4,0,1,100.0,4,4.0,0.3,0.1,73,10.6,773,3,1
83,Rachaad White,TAM,23,RB,17,8,58,50,290,5.8,2,13,53.4,20,2.9,17.1,86.2%,5.0,129,481,1,27,49.6,35,3.7,28.3,7.6,179,4.3,771,3,3
84,George Kittle*,SFO,29,TE,15,15,86,60,765,12.8,11,36,58.1,54,4.0,51.0,69.8%,8.9,,,0,0,,,,,,60,12.8,765,11,1
85,Lamar Jackson,BAL,25,QB,12,12,,,,,0,0,,,,,,,112,764,3,47,64.3,79,6.8,63.7,9.3,112,6.8,764,3,5
86,Josh Allen*,BUF,26,QB,16,16,,,,,0,0,,,,,,,124,762,7,55,61.3,44,6.1,47.6,7.8,124,6.1,762,7,13
87,Tyler Boyd,CIN,28,WR,16,14,82,58,762,13.1,5,42,62.2,60,3.6,47.6,70.7%,9.3,,,0,0,,,,,,58,13.1,762,5,
88,Keenan Allen,LAC,30,WR,10,10,89,66,752,11.4,4,39,56.2,46,6.6,75.2,74.2%,8.4,1,8,0,1,100.0,8,8.0,0.8,0.1,67,11.3,760,4,1
89,Jalen Hurts*,PHI,24,QB,15,15,,,,,0,0,,,,,,,165,760,13,67,59.4,42,4.6,50.7,11.0,165,4.6,760,13,9
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
90,Pat Freiermuth,PIT,24,TE,16,8,98,63,732,11.6,2,37,53.1,57,3.9,45.8,64.3%,7.5,,,0,0,,,,,,63,11.6,732,2,
91,Mack Hollins,LVR,29,WR,17,16,94,57,690,12.1,4,34,51.1,60,3.4,40.6,60.6%,7.3,4,40,0,2,75.0,17,10.0,2.4,0.2,61,12.0,730,4,
92,Darius Slayton,NYG,25,WR,16,11,71,46,724,15.7,2,30,57.7,55,2.9,45.3,64.8%,10.2,,,0,0,,,,,,46,15.7,724,2,2
93,Adam Thielen,MIN,32,WR,17,17,107,70,716,10.2,6,45,49.5,36,4.1,42.1,65.4%,6.7,1,4,0,0,100.0,4,4.0,0.2,0.1,71,10.1,720,6,
94,DeAndre Hopkins,ARI,30,WR,9,9,96,64,717,11.2,3,35,54.2,33,7.1,79.7,66.7%,7.5,,,0,0,,,,,,64,11.2,717,3,2
95,Marquise Brown,ARI,25,WR,12,10,107,67,709,10.6,3,33,44.9,47,5.6,59.1,62.6%,6.6,1,1,0,0,0.0,1,1.0,0.1,0.1,68,10.4,710,3,1
96,Daniel Jones,NYG,25,QB,16,16,,,,,0,0,,,,,,,120,708,7,57,59.2,25,5.9,44.3,7.5,120,5.9,708,7,6
97,Brandin Cooks,HOU,29,WR,13,13,93,57,699,12.3,3,29,47.3,44,4.4,53.8,61.3%,7.5,2,7,0,0,50.0,5,3.5,0.5,0.2,59,12.0,706,3,
98,Dallas Goedert,PHI,27,TE,12,12,69,55,702,12.8,3,40,69.6,31,4.6,58.5,79.7%,10.2,,,0,0,,,,,,55,12.8,702,3,1
99,Christian Watson,GNB,23,WR,14,11,66,41,611,14.9,7,28,50.0,63,2.9,43.6,62.1%,9.3,7,80,2,2,71.4,46,11.4,5.7,0.5,48,14.4,691,9,
100,Michael Carter,NYJ,23,RB,16,10,54,41,288,7.0,0,12,46.3,37,2.6,18.0,75.9%,5.3,114,402,3,14,42.1,25,3.5,25.1,7.1,155,4.5,690,3,2
101,James Cook,BUF,23,RB,16,0,32,21,180,8.6,1,5,46.9,41,1.3,11.3,65.6%,5.6,89,507,2,25,50.6,33,5.7,31.7,5.6,110,6.2,687,3,1
102,Marquez Valdes-Scantling,KAN,28,WR,17,11,81,42,687,16.4,2,32,48.1,57,2.5,40.4,51.9%,8.5,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,43,15.9,684,2,
103,Parris Campbell,IND,25,WR,17,16,91,63,623,9.9,3,32,54.9,49,3.7,36.6,69.2%,6.8,5,58,0,2,40.0,28,11.6,3.4,0.3,68,10.0,681,3,1
104,Breece Hall,NYJ,21,RB,7,2,31,19,218,11.5,1,8,35.5,79,2.7,31.1,61.3%,7.0,80,463,4,20,50.0,62,5.8,66.1,11.4,99,6.9,681,5,1
105,Samaje Perine,CIN,27,RB,16,2,51,38,287,7.6,4,11,41.2,32,2.4,17.9,74.5%,5.6,95,394,2,19,49.5,29,4.1,24.6,5.9,133,5.1,681,6,
